,,,,2020 Complete Raw Enchantment Permit Lottery Data,,,,,,,,
Permit Type,Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,9/4/2020,Colchuck Zone,10/9/2020,Snow Zone,,8/7/2020,Stuart,Zone,Unsuccessful,,,,,
Overnight Permit,8/10/2020,Colchuck Zone,8/11/2020,Core Enchantment Zone,,8/12/2020,Colchuck Zone,Unsuccessful,,,,,,
Overnight Permit,7/11/2020,Colchuck Zone,7/25/2020,Stuart,Zone,8/8/2020,Core Enchantment Zone,Unsuccessful,,,,,,
Overnight Permit,7/10/2020,Colchuck Zone,8/6/2020,Colchuck Zone,,7/17/2020,Colchuck Zone,Unsuccessful,,,,,,
Overnight Permit,7/14/2020,Colchuck Zone,8/10/2020,Colchuck Zone,,8/24/2020,Colchuck Zone,Unsuccessful,,,,,,
Overnight Permit,7/23/2020,Colchuck Zone,7/30/2020,Colchuck Zone,,7/16/2020,Colchuck Zone,Unsuccessful,,,,,,
Overnight Permit,7/3/2020,Colchuck Zone,7/3/2020,Core Enchantment Zone,,6/12/2020,Core Enchantment Zone,Unsuccessful,,,,,,
Overnight Permit,7/6/2020,Colchuck Zone,7/13/2020,Colchuck Zone,,7/20/2020,Stuart,Zone,Unsuccessful,,,,,
Overnight Permit,8/13/2020,Colchuck Zone,8/13/2020,Snow Zone,,8/13/2020,Core Enchantment Zone,Unsuccessful,,,,,,
Overnight Permit,7/23/2020,Colchuck Zone,7/30/2020,Colchuck Zone,,7/16/2020,Colchuck Zone,Unsuccessful,,,,,,
Overnight Permit,6/6/2020,Colchuck Zone,6/27/2020,Core Enchantment Zone,,7/25/2020,Snow Zone,Unsuccessful,,,,,,
Overnight Permit,8/22/2020,Colchuck Zone,8/29/2020,Colchuck Zone,,8/23/2020,Colchuck Zone,Unsuccessful,,,,,,
